Generation,Average_Fitness,Best_Fit,Worst_Fit
1,934.4680243822381,1029.86798357549,788.8666871825345
2,848.1995106763455,986.9143591345671,712.1191065527942
3,776.1970771134116,966.6359870944418,678.1284458038496
4,703.5660832533565,933.5401182620702,572.1807513130797
5,627.4596156884054,737.7851541849805,545.9404151905434
6,574.0598172348078,678.1284458038496,500.5815047279336
7,533.1747117597498,595.5759475164707,456.20550621396495
8,490.7253914387218,551.477836296557,430.099329435373
9,464.9933497269293,551.477836296557,393.411779137368
10,427.94345589139397,488.01817462966403,370.3050928787813
11,398.22664835773736,462.0761463327115,359.0591929631841
12,381.4993247491069,414.3667877871248,348.44859016755345
13,367.0632093710632,391.8933616276353,341.2381601109133
14,352.85629357416934,388.0821245304646,329.4416024543023
15,343.64178635562337,359.0591929631841,329.4416024543023
16,335.8556775689157,343.7774776931675,321.5720899182865
17,328.63676695566096,339.08316887937826,321.13736435766907
18,323.2709651832954,336.5950075541822,308.1890936605821
19,318.47176032729834,335.7036393216174,308.1890936605821
20,314.25976244242594,328.7552288718123,299.8831579037931
21,308.27196800137216,316.2671665021147,299.64891559860223
22,305.1358597754444,316.03292419692383,299.64891559860223
23,302.8774916554494,306.06917745353365,298.8947809212299
24,300.4176085015688,306.06917745353365,294.84472275825436
25,299.52843292466025,306.06917745353365,294.84472275825436
26,298.6200116923158,299.8831579037931,294.84472275825436
27,297.52854190038335,299.64891559860223,294.84472275825436
28,296.962946340196,299.64891559860223,294.17860354861415
29,296.50020799753435,299.64891559860223,293.97873486279127
30,295.99758473984485,298.78292770313914,293.97873486279127
31,295.11285247019146,298.78292770313914,293.724765695019
32,294.71224234234637,298.78292770313914,293.724765695019
33,294.27199173852057,298.78292770313914,293.724765695019
34,293.94143091380914,294.58404850629614,293.724765695019
35,293.86822287292557,294.17860354861415,293.724765695019
36,293.7843317577751,293.97873486279127,293.724765695019
37,293.75117136951604,293.8668816447005,293.724765695019
38,293.7295028933419,293.8668816447005,293.724765695019
39,293.7247656950192,293.724765695019,293.724765695019
40,293.7247656950192,293.724765695019,293.724765695019
41,293.7247656950192,293.724765695019,293.724765695019
42,293.7247656950192,293.724765695019,293.724765695019
43,293.7247656950192,293.724765695019,293.724765695019
44,293.7247656950192,293.724765695019,293.724765695019
45,293.7247656950192,293.724765695019,293.724765695019
46,293.7247656950192,293.724765695019,293.724765695019
47,293.7247656950192,293.724765695019,293.724765695019
48,293.7247656950192,293.724765695019,293.724765695019
49,293.7247656950192,293.724765695019,293.724765695019
50,293.7247656950192,293.724765695019,293.724765695019
51,293.7247656950192,293.724765695019,293.724765695019
52,293.7247656950192,293.724765695019,293.724765695019
53,293.7247656950192,293.724765695019,293.724765695019
54,293.7247656950192,293.724765695019,293.724765695019
55,293.7247656950192,293.724765695019,293.724765695019
56,293.7247656950192,293.724765695019,293.724765695019
57,293.7247656950192,293.724765695019,293.724765695019
58,293.7247656950192,293.724765695019,293.724765695019
59,293.7247656950192,293.724765695019,293.724765695019
60,293.7247656950192,293.724765695019,293.724765695019
61,293.7247656950192,293.724765695019,293.724765695019
62,293.7247656950192,293.724765695019,293.724765695019
63,293.7247656950192,293.724765695019,293.724765695019
64,293.7247656950192,293.724765695019,293.724765695019
65,293.7247656950192,293.724765695019,293.724765695019
66,293.7247656950192,293.724765695019,293.724765695019
67,293.7247656950192,293.724765695019,293.724765695019
68,293.7247656950192,293.724765695019,293.724765695019
69,293.7247656950192,293.724765695019,293.724765695019
70,293.7247656950192,293.724765695019,293.724765695019
71,293.7247656950192,293.724765695019,293.724765695019
72,293.7247656950192,293.724765695019,293.724765695019
73,293.7247656950192,293.724765695019,293.724765695019
74,293.7247656950192,293.724765695019,293.724765695019
75,293.7247656950192,293.724765695019,293.724765695019
76,293.7247656950192,293.724765695019,293.724765695019
77,293.7247656950192,293.724765695019,293.724765695019
78,293.7247656950192,293.724765695019,293.724765695019
79,293.7247656950192,293.724765695019,293.724765695019
80,293.7247656950192,293.724765695019,293.724765695019
81,293.7247656950192,293.724765695019,293.724765695019
82,293.7247656950192,293.724765695019,293.724765695019
83,293.7247656950192,293.724765695019,293.724765695019
84,293.7247656950192,293.724765695019,293.724765695019
85,293.7247656950192,293.724765695019,293.724765695019
86,293.7247656950192,293.724765695019,293.724765695019
87,293.7247656950192,293.724765695019,293.724765695019
88,293.7247656950192,293.724765695019,293.724765695019
89,293.7247656950192,293.724765695019,293.724765695019
90,293.7247656950192,293.724765695019,293.724765695019
91,293.7247656950192,293.724765695019,293.724765695019
92,293.7247656950192,293.724765695019,293.724765695019
93,293.7247656950192,293.724765695019,293.724765695019
94,293.7247656950192,293.724765695019,293.724765695019
95,293.7247656950192,293.724765695019,293.724765695019
96,293.7247656950192,293.724765695019,293.724765695019
97,293.7247656950192,293.724765695019,293.724765695019
98,293.7247656950192,293.724765695019,293.724765695019
99,293.7247656950192,293.724765695019,293.724765695019
