Generations,Iteration 1,Best Fitness Score
Gen 1,85414.26048383454,85414.26048383454
Gen 2,87955.45560003194,87955.45560003194
Gen 3,88415.12225474727,88415.12225474727
Gen 4,89198.7093304979,89198.7093304979
Gen 5,90543.64122977701,90543.64122977701
Gen 6,90543.64122977701,90543.64122977701
Gen 7,90543.64122977701,90543.64122977701
Gen 8,90543.64122977701,90543.64122977701
Gen 9,92589.23939059366,92589.23939059366
Gen 10,92589.23939059366,92589.23939059366
