Generation,Average_Fitness,Worst_Fit,Best_Fit
1,998.9554984763486,1079.0551178782302,893.6111908473222
2,1006.1891831998383,1079.0551178782302,938.9773258627973
3,1005.6340553708355,1079.0551178782302,938.9773258627973
4,1001.7876634111682,1079.0551178782302,938.9773258627973
5,989.6367944482207,1074.0573882212373,938.9773258627973
6,986.4103785696242,1074.0573882212373,938.9773258627973
7,981.0148783799269,1074.0573882212373,938.9773258627973
8,981.5168940312161,1074.0573882212373,938.9773258627973
9,982.9603902844749,1074.0573882212373,938.9773258627973
10,984.5979106746117,1074.0573882212373,938.9773258627973
11,983.4090285798208,1074.0573882212373,938.9773258627973
12,997.536606588666,1074.0573882212373,938.9773258627973
13,1007.5632162576178,1074.0573882212373,938.9773258627973
14,1018.3903363521098,1074.0573882212373,938.9773258627973
15,1026.7525126881876,1074.0573882212373,938.9773258627973
16,1026.7525126881876,1074.0573882212373,938.9773258627973
17,1029.9409815357396,1074.0573882212373,938.9773258627973
18,1036.4992485484397,1074.0573882212373,938.9773258627973
19,1044.4273270039685,1074.0573882212373,988.8618931303324
20,1055.2570055497847,1074.0573882212373,988.8618931303324
21,1054.1019410314218,1074.0573882212373,988.8618931303324
22,1045.0335461388763,1074.0573882212373,988.8618931303324
23,1037.0054682617886,1074.0573882212373,988.8618931303324
24,1034.20386759306,1074.0573882212373,988.8618931303324
25,1029.6983570225138,1074.0573882212373,988.8618931303324
26,1025.741691835423,1074.0573882212373,988.8618931303324
27,1013.8143225226962,1074.0573882212373,988.8618931303324
28,1014.4205416576038,1074.0573882212373,988.8618931303324
29,1007.604902050332,1074.0573882212373,988.8618931303324
30,999.0853525412417,1074.0573882212373,988.8618931303324
31,1004.1970822466958,1074.0573882212373,988.8618931303324
32,1004.1970822466957,1074.0573882212373,988.8618931303324
33,1000.7892624430599,1074.0573882212373,988.8618931303324
34,1007.6049020503319,1074.0573882212373,988.8618931303324
35,1014.4205416576043,1074.0573882212373,988.8618931303324
36,1009.30881195215,1074.0573882212373,988.8618931303324
37,1007.6049020503317,1074.0573882212373,988.8618931303324
38,1024.6440010685124,1074.0573882212373,988.8618931303324
39,1031.4596406757846,1074.0573882212373,988.8618931303324
40,1031.4596406757846,1074.0573882212373,988.8618931303324
41,1038.2752802830569,1074.0573882212373,988.8618931303324
42,1036.5713703812387,1074.0573882212373,988.8618931303324
43,1038.2752802830569,1074.0573882212373,988.8618931303324
44,1038.2752802830569,1074.0573882212373,988.8618931303324
45,1041.6831000866928,1074.0573882212373,988.8618931303324
46,1033.1635505776028,1074.0573882212373,988.8618931303324
47,1019.5322713630585,1074.0573882212373,988.8618931303324
48,1009.3088119521497,1074.0573882212373,988.8618931303324
49,1004.1970822466953,1074.0573882212373,988.8618931303324
50,1005.9009921485135,1074.0573882212373,988.8618931303324
51,1002.4931723448773,1074.0573882212373,988.8618931303324
52,1007.6049020503319,1074.0573882212373,988.8618931303324
53,1024.6440010685126,1074.0573882212373,988.8618931303324
54,1024.6440010685128,1074.0573882212373,988.8618931303324
55,1031.4596406757846,1074.0573882212373,988.8618931303324
56,1039.9791901848744,1074.0573882212373,988.8618931303324
57,1039.9791901848755,1074.0573882212373,988.8618931303324
58,1050.2026495957832,1074.0573882212373,988.8618931303324
59,1055.3143793012375,1074.0573882212373,988.8618931303324
60,1045.0909198903291,1074.0573882212373,988.8618931303324
61,1034.8674604794207,1074.0573882212373,988.8618931303324
62,1043.3870099885107,1074.0573882212373,988.8618931303324
63,1038.2752802830569,1074.0573882212373,988.8618931303324
64,1045.0909198903291,1074.0573882212373,988.8618931303324
65,1041.6831000866935,1074.0573882212373,988.8618931303324
